Date : 2024-10-04 18:49:43
Directory : c:\Data\TRADERDASH\traderdash-monorepo
Total : 262 files,  16071 codes, 168 comments, 3573 blanks, all 19812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\index.ts                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\magic-link.ts                                               | TypeScript         |        104 |          1 |          6 |        111 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\auth\page-protectors.ts                                          | TypeScript         |         25 |         19 |          5 |         49 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\CookieConsent.svelte                                  | Svelte             |         20 |          0 |          3 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\SEO.svelte                                            | Svelte             |         31 |          0 |          4 |         35 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\charts\bar-chart-test.svelte                          | Svelte             |         58 |          0 |          2 |         60 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\charts\theme.ts                                       | TypeScript         |        371 |          0 |          1 |        372 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\ConnectionCard.svelte                     | Svelte             |         45 |          0 |          3 |         48 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\table\actions.svelte                      | Svelte             |          0 |          0 |          1 |          1 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\connections\table\manage-connections-table.svelte     | Svelte             |         86 |          0 |          7 |         93 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\exchanges\traderdash\add-connection-traderdash.svelte | Svelte             |          3 |          0 |          2 |          5 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Breadcrumbs.svelte                             | Svelte             |         50 |          0 |          3 |         53 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Header.svelte                                  | Svelte             |         43 |          0 |          4 |         47 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\NavLink.svelte                                 | Svelte             |         45 |          0 |          4 |         49 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\NavLinkList.svelte                             | Svelte             |         76 |          0 |          2 |         78 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\Notifications.svelte                           | Svelte             |         38 |          0 |          2 |         40 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\SearchAnything.svelte                          | Svelte             |         61 |          0 |          6 |         67 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\common\PageHeader.svelte                       | Svelte             |         17 |          0 |          2 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\layout\common\PageWrapper.svelte                      | Svelte             |          3 |          0 |          1 |          4 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingOne.svelte                       | Svelte             |         34 |          0 |          3 |         37 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingThree.svelte                     | Svelte             |         51 |          0 |          5 |         56 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\onboarding\OnboardingTwo.svelte                       | Svelte             |         92 |          0 |          6 |         98 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-content.svelte                 | Svelte             |         22 |          0 |          4 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-item.svelte                    | Svelte             |         11 |          0 |          4 |         15 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\accordion-trigger.svelte                 | Svelte             |         23 |          0 |          4 |         27 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\accordion\index.ts                                 | TypeScript         |         15 |          1 |          2 |         18 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar-fallback.svelte                      | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar-image.svelte                         | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\avatar.svelte                               | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\avatar\index.ts                                    | TypeScript         |         11 |          1 |          2 |         14 |
