Date : 2024-10-04 18:49:43
Directory : c:\Data\TRADERDASH\traderdash-monorepo
Total : 262 files,  16071 codes, 168 comments, 3573 blanks, all 19812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-ellipsis.svelte              | Svelte             |         21 |          0 |          4 |         25 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-item.svelte                  | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-link.svelte                  | Svelte             |         26 |          0 |          6 |         32 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-list.svelte                  | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-page.svelte                  | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb-separator.svelte             | Svelte             |         22 |          0 |          4 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\breadcrumb.svelte                       | Svelte             |         12 |          0 |          4 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\breadcrumb\index.ts                                | TypeScript         |         23 |          1 |          2 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\button\button.svelte                               | Svelte             |         22 |          0 |          4 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\button\index.ts                                    | TypeScript         |         43 |          1 |          6 |         50 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card-content.svelte                           | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card-description.svelte                       | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card-footer.svelte                            | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card-header.svelte                            | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card-title.svelte                             | Svelte             |         18 |          0 |          4 |         22 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\card.svelte                                   | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\card\index.ts                                      | TypeScript         |         21 |          1 |          3 |         25 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\checkbox\checkbox.svelte                           | Svelte             |         32 |          0 |          4 |         36 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\checkbox\index.ts                                  | TypeScript         |          5 |          1 |          1 |          7 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\collapsible\collapsible-content.svelte             | Svelte             |         12 |          0 |          4 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\collapsible\index.ts                               | TypeScript         |         12 |          1 |          3 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-dialog.svelte                      | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-empty.svelte                       | Svelte             |         10 |          0 |          3 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-group.svelte                       | Svelte             |         16 |          0 |          3 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-input.svelte                       | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-item.svelte                        | Svelte             |         20 |          0 |          5 |         25 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-list.svelte                        | Svelte             |         13 |          0 |          3 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-separator.svelte                   | Svelte             |          8 |          0 |          3 |         11 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command-shortcut.svelte                    | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\command.svelte                             | Svelte             |         18 |          0 |          5 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\command\index.ts                                   | TypeScript         |         33 |          1 |          4 |         38 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-content.svelte                       | Svelte             |         33 |          0 |          4 |         37 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-description.svelte                   | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-footer.svelte                        | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-header.svelte                        | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-overlay.svelte                       | Svelte             |         18 |          0 |          4 |         22 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-portal.svelte                        | Svelte             |          7 |          0 |          2 |          9 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\dialog-title.svelte                         | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dialog\index.ts                                    | TypeScript         |         33 |          1 |          4 |         38 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-content.svelte                       | Svelte             |         21 |          0 |          4 |         25 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-description.svelte                   | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-footer.svelte                        | Svelte             |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-header.svelte                        | Svelte             |         17 |          0 |          3 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-nested.svelte                        | Svelte             |         10 |          0 |          3 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-overlay.svelte                       | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer-title.svelte                         | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\drawer.svelte                               | Svelte             |         10 |          0 |          3 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\drawer\index.ts                                    | TypeScript         |         36 |          1 |          5 |         42 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-checkbox-item.svelte   | Svelte             |         32 |          0 |          4 |         36 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-content.svelte         | Svelte             |         24 |          0 |          4 |         28 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-item.svelte            | Svelte             |         28 |          0 |          4 |         32 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-label.svelte           | Svelte             |         16 |          0 |          4 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-radio-group.svelte     | Svelte             |          8 |          0 |          4 |         12 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-radio-item.svelte      | Svelte             |         32 |          0 |          4 |         36 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-separator.svelte       | Svelte             |         11 |          0 |          4 |         15 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-shortcut.svelte        | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-sub-content.svelte     | Svelte             |         27 |          0 |          4 |         31 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\dropdown-menu-sub-trigger.svelte     | Svelte             |         29 |          0 |          4 |         33 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\dropdown-menu\index.ts                             | TypeScript         |         45 |          1 |          3 |         49 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-button.svelte                            | Svelte             |          8 |          0 |          3 |         11 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-description.svelte                       | Svelte             |         15 |          0 |          3 |         18 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-element-field.svelte                     | Svelte             |         20 |          0 |          6 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-field-errors.svelte                      | Svelte             |         23 |          0 |          4 |         27 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-field.svelte                             | Svelte             |         20 |          0 |          6 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-fieldset.svelte                          | Svelte             |         25 |          0 |          6 |         31 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-label.svelte                             | Svelte             |         13 |          0 |          5 |         18 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\form-legend.svelte                            | Svelte             |         14 |          0 |          4 |         18 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\form\index.ts                                      | TypeScript         |         30 |          1 |          3 |         34 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\input\index.ts                                     | TypeScript         |         26 |          1 |          3 |         30 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\input\input.svelte                                 | Svelte             |         34 |          0 |          4 |         38 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\label\index.ts                                     | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\label\label.svelte                                 | Svelte             |         18 |          0 |          4 |         22 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\popover\index.ts                                   | TypeScript         |         15 |          1 |          2 |         18 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\popover\popover-content.svelte                     | Svelte             |         20 |          0 |          3 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\scroll-area\index.ts                               | TypeScript         |          8 |          1 |          2 |         11 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\scroll-area\scroll-area-scrollbar.svelte           | Svelte             |         24 |          0 |          4 |         28 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\scroll-area\scroll-area.svelte                     | Svelte             |         29 |          0 |          4 |         33 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\separator\index.ts                                 | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\separator\separator.svelte                         | Svelte             |         19 |          0 |          4 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\skeleton\index.ts                                  | TypeScript         |          5 |          1 |          2 |          8 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\skeleton\skeleton.svelte                           | Svelte             |          8 |          0 |          4 |         12 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\sonner\index.ts                                    | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\sonner\sonner.svelte                               | Svelte             |         18 |          0 |          3 |         21 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\index.ts                                     | TypeScript         |         26 |          1 |          2 |         29 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-body.svelte                            | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-caption.svelte                         | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-cell.svelte                            | Svelte             |         15 |          0 |          4 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-footer.svelte                          | Svelte             |         10 |          0 |          4 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-head.svelte                            | Svelte             |         16 |          0 |          4 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-header.svelte                          | Svelte             |         10 |          1 |          4 |         15 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table-row.svelte                             | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\table\table.svelte                                 | Svelte             |         12 |          0 |          4 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\tabs\index.ts                                      | TypeScript         |         15 |          1 |          3 |         19 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\tabs\tabs-content.svelte                           | Svelte             |         18 |          0 |          4 |         22 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\tabs\tabs-list.svelte                              | Svelte             |         16 |          0 |          4 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\components\ui\tabs\tabs-trigger.svelte                           | Svelte             |         20 |          0 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\index.ts                                                         | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\schemas\auth.ts                                                  | TypeScript         |          5 |          0 |          3 |          8 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\schemas\user.ts                                                  | TypeScript         |          3 |          0 |          3 |          6 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\stores\global.ts                                                 | TypeScript         |         29 |          0 |          6 |         35 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\utils.ts                                                         | TypeScript         |         62 |          0 |         12 |         74 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\utils\debounce.ts                                                | TypeScript         |         12 |         15 |          3 |         30 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\lib\utils\throttle.ts                                                | TypeScript         |         55 |          5 |         14 |         74 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\+layout.svelte                                          | Svelte             |         57 |         13 |          4 |         74 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\+layout.ts                                              | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\+page.svelte                                | Svelte             |         21 |          0 |          2 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\+page.ts                                    | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\add\+page.svelte                            | Svelte             |         51 |          0 |          2 |         53 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\add\+page.ts                                | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\add\[exchange]\+page.svelte                 | Svelte             |         12 |          0 |          2 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\connections\add\[exchange]\+page.ts                     | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\home\+page.svelte                                       | Svelte             |          3 |          0 |          2 |          5 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\home\+page.ts                                           | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\onboarding\+page.svelte                                 | Svelte             |         42 |          0 |          6 |         48 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\onboarding\+page.ts                                     | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\trades\+page.svelte                                     | Svelte             |          5 |          0 |          2 |          7 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(app)\trades\+page.ts                                         | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(marketing)\+layout.ts                                        | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(marketing)\+page.svelte                                      | Svelte             |         32 |          0 |          3 |         35 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(marketing)\+page.ts                                          | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(marketing)\pricing\+page.svelte                              | Svelte             |          1 |          0 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\(marketing)\waitlist\+page.svelte                             | Svelte             |         14 |          0 |          1 |         15 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\+error.svelte                                                 | Svelte             |         23 |          0 |          2 |         25 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\+layout.svelte                                                | Svelte             |         24 |          0 |          4 |         28 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\+layout.ts                                                    | TypeScript         |         25 |          1 |          3 |         29 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\login\+page.svelte                                            | Svelte             |        124 |          0 |          6 |        130 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\login\+page.ts                                                | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\login\verify\+page.svelte                                     | Svelte             |         81 |          0 |          5 |         86 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\routes\login\verify\+page.ts                                         | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\types\auth.ts                                                        | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\src\types\ui\NavLink.ts                                                  | TypeScript         |         24 |          7 |          7 |         38 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\svelte.config.js                                                         | JavaScript         |         14 |          6 |          4 |         24 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\tailwind.config.ts                                                       | TypeScript         |         62 |          0 |          3 |         65 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\tests\test.ts                                                            | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\tsconfig.json                                                            | JSON with Comments |         14 |          5 |          1 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\apps\frontend-svelte\vite.config.ts                                                           | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Data\TRADERDASH\traderdash-monorepo\package.json                                                                                  | JSON               |         19 |          0 |          1 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\db\package.json                                                                      | JSON               |          6 |          0 |          1 |          7 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\eslint-config\README.md                                                              | Markdown           |          2 |          0 |          2 |          4 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\eslint-config\library.js                                                             | JavaScript         |         30 |          2 |          3 |         35 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\eslint-config\next.js                                                                | JavaScript         |         31 |          2 |          3 |         36 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\eslint-config\package.json                                                           | JSON               |         19 |          0 |          1 |         20 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\eslint-config\react-internal.js                                                      | JavaScript         |         28 |          8 |          4 |         40 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\shared-types\package.json                                                            | JSON               |         12 |          0 |          1 |         13 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\shared-types\src\api\index.ts                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\shared-types\src\api\user.ts                                                         | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\shared-types\src\index.ts                                                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\typescript-config\base.json                                                          | JSON               |         20 |          0 |          1 |         21 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\typescript-config\nextjs.json                                                        | JSON               |         13 |          0 |          1 |         14 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\typescript-config\package.json                                                       | JSON               |          9 |          0 |          1 |         10 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\typescript-config\react-library.json                                                 | JSON               |          8 |          0 |          1 |          9 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\.eslintrc.js                                                                      | JavaScript         |          9 |          1 |          1 |         11 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\package.json                                                                      | JSON               |         28 |          0 |          1 |         29 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\src\button.tsx                                                                    | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\src\card.tsx                                                                      | TypeScript JSX     |         25 |          0 |          1 |         26 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\src\code.tsx                                                                      | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\tsconfig.json                                                                     | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\tsconfig.lint.json                                                                | JSON               |          8 |          0 |          1 |          9 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\turbo\generators\config.ts                                                        | TypeScript         |         26 |          2 |          3 |         31 |
| c:\Data\TRADERDASH\traderdash-monorepo\packages\ui\turbo\generators\templates\component.hbs                                          | Handlebars         |          8 |          0 |          1 |          9 |
| c:\Data\TRADERDASH\traderdash-monorepo\pnpm-lock.yaml                                                                                | YAML               |     10,171 |          0 |      2,675 |     12,846 |
| c:\Data\TRADERDASH\traderdash-monorepo\pnpm-workspace.yaml                                                                           | YAML               |          3 |          0 |          1 |          4 |
| c:\Data\TRADERDASH\traderdash-monorepo\turbo.json                                                                                    | JSON               |         18 |          0 |          1 |         19 |
| Total                                                                                                                                |                    |     16,071 |        168 |      3,573 |     19,812 |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
